Date,Value
2019-07-08,64.72
2019-07-09,64.35
2019-07-10,66.1
2019-07-11,67.57
2019-07-12,67.36
2019-07-15,66.79
2019-07-16,66.13
2019-07-17,64.6
2019-07-18,63.1
2019-07-19,62.93
2019-07-22,64.27
2019-07-23,63.92
2019-07-24,64.58
2019-07-25,64.55
2019-07-26,64.02
2019-07-29,63.79
2019-07-30,64.62
2019-07-31,65.53
2019-08-01,63.37
2019-08-02,61.55
2019-08-05,60.41
2019-08-06,59.59
2019-08-07,57.7
2019-08-08,57.38
2019-08-09,57.88
2019-08-12,57.84
2019-08-13,59.34
2019-08-14,59.88
2019-08-15,58.77
2019-08-16,59.03
2019-08-19,59.46
2019-08-20,59.94
2019-08-21,60.66
2019-08-22,60.5
2019-08-23,59.67
2019-08-26,59.18
2019-08-27,58.98
2019-08-28,60.16
2019-08-29,60.24
2019-08-30,60.11
2019-09-02,58.76
2019-09-03,57.81
2019-09-04,58.97
2019-09-05,60.58
2019-09-06,60.75
2019-09-09,62.0
2019-09-10,62.74
2019-09-11,62.08
2019-09-12,60.51
2019-09-13,60.02
2019-09-16,66.43
2019-09-17,67.88
2019-09-18,64.57
2019-09-19,64.39
2019-09-20,65.3
2019-09-23,64.51
2019-09-24,63.93
2019-09-25,62.35
2019-09-26,62.31
2019-09-27,62.51
2019-09-30,61.09
2019-10-01,59.68
2019-10-02,58.75
2019-10-03,57.99
2019-10-04,58.62
2019-10-07,59.12
2019-10-08,58.56
2019-10-09,58.68
2019-10-10,58.74
2019-10-11,60.97
2019-10-14,59.95
2019-10-15,59.62
2019-10-16,59.28
2019-10-17,59.54
2019-10-18,60.06
2019-10-21,59.5
2019-10-22,59.78
2019-10-23,60.42
2019-10-24,61.63
2019-10-25,62.16
2019-10-28,61.65
2019-10-29,61.44
2019-10-30,61.24
2019-10-31,60.52
2019-11-01,60.19
2019-11-04,62.0
2019-11-05,62.57
2019-11-06,62.39
2019-11-07,62.32
2019-11-08,61.98
2019-11-11,62.26
2019-11-12,62.82
2019-11-13,62.48
2019-11-14,63.0
2019-11-15,63.12
2019-11-18,63.44
2019-11-19,62.51
2019-11-20,62.22
2019-11-21,63.68
2019-11-22,64.56
2019-11-25,64.21
2019-11-26,63.92
2019-11-27,64.4
2019-11-28,63.94
2019-11-29,63.83
2019-12-02,62.5
2019-12-03,62.57
2019-12-04,63.39
2019-12-05,64.81
2019-12-06,65.24
2019-12-09,65.57
2019-12-10,65.66
2019-12-11,65.38
2019-12-12,65.81
2019-12-13,66.76
2019-12-16,67.22
2019-12-17,67.48
2019-12-18,67.77
2019-12-19,67.93
2019-12-20,68.0
2019-12-23,67.58
2019-12-24,67.99
2019-12-26,68.48
2019-12-27,69.07
2019-12-30,68.89
2019-12-31,67.96
2020-01-02,67.12
2020-01-03,69.38
2020-01-06,70.87
2020-01-07,69.6
2020-01-08,69.58
2020-01-09,67.24
2020-01-10,67.02
2020-01-13,66.07
2020-01-14,65.63
2020-01-15,65.32
2020-01-16,65.62
2020-01-17,65.58
2020-01-20,66.11
2020-01-21,65.26
2020-01-22,64.66
2020-01-23,63.26
2020-01-24,62.52
2020-01-27,61.98
2020-01-28,60.67
2020-01-29,61.04
2020-01-30,58.8
2020-01-31,58.94
2020-02-03,55.53
2020-02-04,54.68
2020-02-05,55.01
2020-02-06,55.74
2020-02-07,55.13
2020-02-10,54.21
2020-02-11,54.2
2020-02-12,55.59
2020-02-13,55.9
2020-02-14,56.77
2020-02-17,57.28
2020-02-18,56.72
2020-02-19,58.39
2020-02-20,58.98
2020-02-21,58.21
2020-02-24,56.14
2020-02-25,55.91
2020-02-26,54.04
2020-02-27,51.92
2020-02-28,50.19
2020-03-02,51.68
2020-03-03,52.66
2020-03-04,52.01
2020-03-05,51.75
2020-03-06,48.35
2020-03-09,34.72
2020-03-10,35.73
2020-03-11,35.56
2020-03-12,33.27
2020-03-13,34.14
2020-03-16,30.63
2020-03-17,30.36
2020-03-18,27.31
2020-03-19,26.73
2020-03-20,28.57
2020-03-23,24.72
2020-03-24,26.53
2020-03-25,26.94
2020-03-26,26.04
2020-03-27,24.26
2020-03-30,21.66
2020-03-31,22.61
2020-04-01,16.85
2020-04-02,18.91
2020-04-03,23.01
2020-04-06,23.48
2020-04-07,22.67
2020-04-08,21.19
2020-04-09,21.77
2020-04-13,21.18
2020-04-14,19.7
2020-04-15,17.51
2020-04-16,17.73
2020-04-17,18.17
2020-04-20,14.19
2020-04-21,14.63
2020-04-22,12.22
2020-04-23,15.23
2020-04-24,14.31
2020-04-27,13.3
2020-04-28,12.41
2020-04-29,14.36
2020-04-30,18.05
2020-05-01,16.52
2020-05-04,18.36
2020-05-05,21.43
2020-05-06,22.4
2020-05-07,22.91
2020-05-08,22.21
2020-05-11,22.71
2020-05-12,22.83
2020-05-13,23.25
2020-05-14,24.93
2020-05-15,26.54
2020-05-18,28.21
2020-05-19,28.43
2020-05-20,28.68
2020-05-21,29.7
2020-05-22,28.06
2020-05-26,29.75
2020-05-27,29.03
2020-05-28,28.45
2020-05-29,29.01
2020-06-01,33.69
2020-06-02,34.96
2020-06-03,35.47
2020-06-04,34.85
2020-06-05,36.84
2020-06-08,38.89
2020-06-09,37.1
2020-06-10,37.46
2020-06-11,36.56
2020-06-12,35.06
2020-06-15,35.09
2020-06-16,36.75
2020-06-17,37.59
2020-06-18,37.7
2020-06-19,39.45
2020-06-22,38.96
2020-06-23,39.85
2020-06-24,38.17
2020-06-25,37.18
2020-06-26,37.99
2020-06-29,37.34
2020-06-30,38.22
2020-07-01,42.69
2020-07-02,42.93
2020-07-03,42.96
2020-07-06,43.57
2020-07-07,43.15
2020-07-08,43.44
2020-07-09,43.31
2020-07-10,43.47
2020-07-13,43.38
2020-07-14,43.02
2020-07-15,44.12
2020-07-16,43.8
2020-07-17,43.22
2020-07-20,43.03
2020-07-21,44.29
2020-07-22,44.24
2020-07-23,44.62
2020-07-24,43.38
2020-07-27,43.14
2020-07-28,43.4
2020-07-29,43.59
2020-07-30,42.99
2020-07-31,43.02
2020-08-03,44.02
2020-08-04,44.27
2020-08-05,45.34
2020-08-06,45.17
2020-08-07,44.87
2020-08-10,45.01
2020-08-11,45.21
2020-08-12,45.08
2020-08-13,45.34
2020-08-14,44.62
2020-08-17,44.94
2020-08-18,45.49
2020-08-19,45.19
2020-08-20,45.05
2020-08-21,44.92
2020-08-24,45.19
2020-08-25,45.87
2020-08-26,46.05
2020-08-27,45.81
2020-08-28,45.33
2020-08-31,46.27
2020-09-01,45.3
2020-09-02,45.02
2020-09-03,43.36
2020-09-04,43.42
2020-09-07,41.64
2020-09-08,40.29
2020-09-09,39.82
2020-09-10,39.83
2020-09-11,39.37
2020-09-14,38.96
2020-09-15,39.35
2020-09-16,41.29
2020-09-17,42.07
2020-09-18,42.98
2020-09-21,41.49
2020-09-22,41.32
2020-09-23,41.4
2020-09-24,41.22
2020-09-25,41.93
2020-09-28,41.61
2020-09-29,41.46
2020-09-30,40.65
2020-10-01,39.94
2020-10-02,38.09
2020-10-05,39.07
2020-10-06,40.33
2020-10-07,40.45
2020-10-08,41.06
2020-10-09,41.61
2020-10-12,40.57
2020-10-13,40.68
2020-10-14,41.2
2020-10-15,41.29
2020-10-16,41.37
2020-10-19,41.38
2020-10-20,41.04
2020-10-21,40.88
2020-10-22,40.91
2020-10-23,41.05
2020-10-26,39.22
2020-10-27,39.53
2020-10-28,38.42
2020-10-29,37.12
2020-10-30,36.5
2020-11-02,35.89
2020-11-03,38.44
2020-11-04,39.09
2020-11-05,39.79
2020-11-06,39.22
2020-11-09,39.97
2020-11-10,41.72
2020-11-11,43.42
2020-11-12,42.97
2020-11-13,42.05
2020-11-16,42.93
2020-11-17,42.76
2020-11-18,43.05
2020-11-19,43.12
2020-11-20,43.38
2020-11-23,44.75
2020-11-24,45.51
2020-11-25,46.91
2020-11-26,46.66
2020-11-27,46.79
2020-11-30,46.43
2020-12-01,46.73
2020-12-02,46.69
2020-12-03,47.46
2020-12-04,48.35
2020-12-07,47.77
2020-12-08,47.79
2020-12-09,48.31
2020-12-10,48.87
2020-12-11,49.58
2020-12-14,49.65
2020-12-15,49.61
2020-12-16,50.12
2020-12-17,50.78
2020-12-18,50.69
2020-12-21,49.57
2020-12-22,49.22
2020-12-23,49.46
2020-12-24,50.31
2020-12-28,50.1
2020-12-29,50.16
2020-12-30,50.22
2020-12-31,50.24
2021-01-04,51.35
2021-01-05,50.75
2021-01-06,53.29
2021-01-07,53.84
2021-01-08,54.39
2021-01-11,54.76
2021-01-12,55.41
2021-01-13,55.81
2021-01-14,55.19
2021-01-15,54.68
2021-01-18,53.92
2021-01-19,54.85
2021-01-20,55.75
2021-01-21,55.14
2021-01-22,54.69
2021-01-25,54.85
2021-01-26,54.87
2021-01-27,55.31
2021-01-28,54.36
2021-01-29,54.41
2021-02-01,55.14
2021-02-02,56.82
2021-02-03,57.74
2021-02-04,58.26
2021-02-05,58.94
2021-02-08,59.59
2021-02-09,60.3
2021-02-10,60.47
2021-02-11,60.55
2021-02-12,60.79
2021-02-15,62.61
2021-02-16,62.49
2021-02-17,63.06
2021-02-18,63.44
2021-02-19,61.32
2021-02-22,62.01
2021-02-23,63.73
2021-02-24,64.0
2021-02-25,65.42
2021-02-26,64.37
2021-03-01,64.21
2021-03-02,61.94
2021-03-03,62.12
